"Ancienneté_an";"Service";"Work_accident";"id_salarié_HMAC";"Contrat";"Taux de travail (%)";"Salaire_mensuel_EQTP";"Augmentation";"Promotion";"Sexe";"Congé maternité A-1";"Age"
"10_19";"MARKETING";"NON";"Xq688D8q0mmekY7ql04s4iV8BRV5PNRdwpWSCaxrM";"CDI";100;9999,38;0;0;"H";0;"40_49"
"10_19";"COMPTA FINANCES";"NON";"sKKyKIQEdRUhSFCw9rjJOcBAb5bLXkiolUrEzkZG6s";"CDI";100;9978,15;0;0;"H";0;"40_49"
"20_29";"MARKETING";"NON";"RzHqD5Gsj69mFNpMUKsxXRlGlRnZPIwxA609r6ZCNA";"CDI";100;9940,23;0;0;"H";0;"40_49"
"10_19";"RH";"NON";"fIBlbiAyFI98LEbdJPNNNQQhj4PkLkKZUCW1cKqhQXY";"CDI";100;9928,1;1;1;"H";0;"30_39"
"20_29";"CONSULTANT";"NON";"4KU3s6mbvOkxapuQglVLm6fGTuXD3slADR5ABD36u0";"CDI";100;9873,5;0;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"HXvH3qdkT8oC87P5YKVSJMamUXoJplFwf9m0FdhW2U";"CDI";100;9785,53;0;0;"H";0;"30_39"
"5_9";"CONSULTANT";"NON";"nTTkui2KkFO9nUDA3s24l2aP8ydEJb8Z8fxZnzhQzU";"CDI";100;9782,5;0;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"TJTGz7UyhQlMbxQA4eShsZ9QoRSLyZuzR6DaRcG4Lk";"CDI";100;9777,95;1;0;"F";0;"40_49"
"5_9";"CONSULTANT";"NON";"FNTwBE7VWbjfTQWLUNUEkLeVEIBvQqzFExw0TrAOM";"CDI";100;9737;1;1;"H";0;"50 +"
"10_19";"RH";"NON";"Gpl0JSEqNR7dsjg5QuoIqSzOHbzHi0VRTaiA2wfDE";"CDI";100;9642,97;0;0;"H";0;"50 +"
"5_9";"RH";"OUI";"XyHCDkbJ5Yiii6UNZnteahUIbWX7IEHzX1zPvom260";"CDI";100;9635,38;1;0;"H";0;"40_49"
"5_9";"INFORMATIQUE";"NON";"DT5PFMrU8xdK06rgOo7mrFmbOIeDGPBq7fEltaZrsco";"CDI";100;9573,2;1;0;"H";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"4EtknzIhyAaxrgi7nCSKgD5f4ky2AqHnQRcEOh0jY8";"CDI";100;9573,2;0;0;"H";0;"40_49"
"10_19";"COMMERCIAL";"NON";"U8sBHN9ah3zyXkEKfiTOKhgLq402V9puPCnBOThtcq4";"CDI";100;9555;1;0;"F";0;"30_39"
"10_19";"COMMERCIAL";"NON";"2dlpu17NyJYf8wcdBGfnfcRMSu3quER4T4hjPcsdY";"CDI";100;9497,37;1;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"NON";"FpjJur2DjheSYKuWXeXHSlR2imMlMPed4tIHG3pwv0g";"CDI";100;9488,27;1;1;"H";0;"50 +"
"20_29";"CONSULTANT";"NON";"BHGdd4Henys1hpQlAlIeYWCmShp7vyoAnu71aalFc";"CDI";100;9447,32;1;0;"H";0;"40_49"
"20_29";"CONSULTANT";"NON";"roX218IaY7YgraS0qkEAML3BAVp1iAXyNXQTQVamL4";"CDI";100;9426,08;1;0;"F";0;"50 +"
"20_29";"CONSULTANT";"NON";"3aKVugPtaCIQJht5gxJu5Wb9aw0ozODdCm6o14joY";"CDI";100;9400,3;1;0;"H";0;"50 +"
"5_9";"INFORMATIQUE";"NON";"nvXiARdpJslLsDmV8okslcGbDErDyIKU83GMpSlghk";"CDI";100;9366,93;1;1;"F";0;"40_49"
"5_9";"COMPTA FINANCES";"NON";"sOptYX2tfW07DsECDruiq6sXMcwINdDie5uNOeU";"CDI";100;9256,22;1;0;"F";0;"50 +"
"5_9";"MARKETING";"NON";"NhiMUv5cKqEh1hrUxrAfS2Jsnk3EtoHVNYJUrYKMucg";"CDI";100;9218,3;0;0;"F";0;"40_49"
"5_9";"CONSULTANT";"NON";"fxlwj1Gvgd9Ia5dozU1IrGsnf8gpOGPQHff6Kyd1I";"CDI";100;9162,18;1;0;"F";0;"50 +"
"5_9";"INFORMATIQUE";"OUI";"1VDJ9hKswDoyuPvKmEocUQzVj62Uwr8CHnjxbfWJjxQ";"CDI";100;9096,97;0;0;"H";0;"50 +"
"10_19";"COMMERCIAL";"NON";"IqsHKY3i1tL4AL6mtNHoiTU4z885ovt1G1Gh0vFJNUY";"CDI";100;9069,67;0;0;"H";0;"40_49"
"10_19";"RH";"NON";"3d3jIF9K5LUMc010v5WX70IMglDOlOlY1vtZ2vY";"CDI";100;9039,33;1;1;"H";0;"30_39"
"10_19";"RH";"NON";"O6PP6lY7GF5alhFkWgMDhyLavtp8faUfNruilU5ZnA";"CDI";90;9845,33;1;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"OUI";"SPV4JeXrDhXNqbovpqDtcWHsIQz9KsUlnJ0G8qs";"CDI";100;8828,52;0;1;"F";0;"30_39"
"5_9";"RH";"NON";"lAQVkfpmqqQPKAce26pvL4T8AzYnGfZ6uCr11AYRcnA";"CDI";100;8746,62;0;1;"F";0;"30_39"
"5_9";"INFORMATIQUE";"NON";"7jWE9RQYdMu9oiJkD3v62cA9OHexCz7raM4KGjbtOY";"CDI";100;8716,28;0;0;"H";0;"30_39"
"10_19";"COMMERCIAL";"NON";"QQdPWb3WF8pZxlFqUEDv3z7xR9yVAyiztRXnyFJbs";"CDI";100;8714,77;1;0;"H";0;"50 +"
"10_19";"MARKETING";"NON";"AFwAmckhbczznOkKlzBUczUhNHNS7oJ1ckq1xdXlvqU";"CDI";100;8696,57;1;0;"H";0;"50 +"
"5_9";"COMPTA FINANCES";"NON";"tjWcmASX4qtitVEJgYugbIumFu5kU4G06Rly8Z8ouc";"CDI";100;8696,57;0;0;"H";0;"50 +"
"10_19";"COMPTA FINANCES";"NON";"Awy2q4PACXu8gESVBzbPx14jgxk2K90okCl4gHV7YM";"CDI";100;8655,62;1;0;"F";0;"40_49"
"10_19";"COMMERCIAL";"NON";"xIiZjGBLj8FoS9b3V7UZkBhDEQF3fXxBlDRALP7kk";"CDI";100;8629,83;0;0;"F";0;"40_49"
"20_29";"RH";"NON";"Ksk7j6OrBg8pGZxD4JPVtR4xOrpjc14SbHcaPPtgHY";"CDI";100;8563,1;0;0;"H";0;"40_49"
"10_19";"INFORMATIQUE";"NON";"Tk88um480xH0RA1Vs2fb3JqHuItJbeebm2fVVS6B8";"CDI";100;8458,45;0;0;"H";0;"30_39"
